permit_no,well_id,year,sampling_date,pH,chloride,nitrate_n,cadmium,arsenic,cyanide,mercury,organic_p,diazinon,parathion,phenol,lead,chromium,TCE,PCE,TCA_111,judgment,exceeded,source,remark
D199540107,D-309,2021,2021-10-13,7.7,8.1,0.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540107,D-309,2024,2024-10-04,7.7,7.0,1.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.1↔1.1, Δ=0.00)"
D199540109,F-102,2018,2018-10-15,7.4,13.2,3.1,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540109,F-102,2021,2021-10-15,8,14.3,4.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540109,F-102,2024,2024-10-08,7.7,13.4,3.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=3.7↔3.8, Δ=0.10)"
D199540110,F-103,2018,2018-10-15,7.3,25.6,1.4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540110,F-103,2021,2021-10-14,7.6,120,1.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540110,F-103,2024,2024-10-07,7.9,68.8,2.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.1↔2.3, Δ=0.20)"
D199540111,D-316,2018,2018-10-15,7.2,36.1,1.5,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540111,D-316,2021,2021-10-14,7.8,46.2,2.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540111,D-316,2024,2024-10-07,8.2,40.1,1.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.8↔1.8, Δ=0.00)"
D199540112,F-104,2018,2018-10-15,7.2,153.5,4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540112,F-104,2021,2021-10-14,8.1,126.9,3.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540112,F-104,2024,2024-10-02,7.9,78.2,2.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.4↔2.4, Δ=0.00)"
D199540113,D-313,2018,2018-10-15,7.3,9,1.3,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540113,D-313,2021,2021-10-14,7.8,9.3,1.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540113,D-313,2024,2024-10-02,7.8,7.6,1.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.7↔1.7, Δ=0.00)"
D199540114,F-098,2018,2018-10-15,7.7,64.3,38.4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,부적합,질산성질소,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540114,F-098,2021,2021-11-11,7.6,168.2,24,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(질산성질소),,사후관리DB,
D199540114,F-098,2024,2024-06-03,7.3,134.9,25.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(질산성질소),,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=25.7↔26.3, Δ=0.60)"
D199540115,F-097,2018,2018-10-15,7.9,679.5,2.7,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,부적합,염소이온,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540115,F-097,2019,2019-10-15,6.7,41.6,21.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합,질산성질소,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540115,F-097,2021,2021-11-19,7.6,6517,9.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(염소이온),,사후관리DB,
D199540115,F-097,2024,2024-11-18,7.1,192.8,9.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=9.6↔6.5, Δ=3.10)"
D199540116,D-315,2018,2018-10-15,7.5,27,18.6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540116,D-315,2021,2021-10-26,7.1,32.7,38.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(질산성질소),,사후관리DB,
D199540116,D-315,2024,2024-10-23,7.8,15.7,11.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=11.8↔12.1, Δ=0.30)"
D199540117,F-100,2018,2018-10-15,7.5,8.9,2.3,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540117,F-100,2021,2021-10-06,7.6,8.7,2.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540117,F-100,2024,2024-10-02,7.8,7.5,2.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.1↔2.1, Δ=0.00)"
D199540118,F-101,2018,2018-10-15,7.6,5.6,1,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540118,F-101,2021,2021-11-23,8.2,5,0.5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540118,F-101,2024,2024-10-25,7.9,3.8,0.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.6↔0.6, Δ=0.00)"
D199540119,F-099,2018,2018-10-15,7.2,15,6,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540119,F-099,2021,2021-10-05,8,15.5,7.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540119,F-099,2024,2024-06-03,7.6,13.7,6.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=6.2↔6.2, Δ=0.00)"
D199540120,D-312,2018,2018-10-15,7.8,15.9,1.7,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540120,D-312,2021,2021-11-12,8.4,14.9,2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540120,D-312,2024,2024-11-11,7.9,11.9,2.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=2.2↔2.2, Δ=0.00)"
D199540121,D-314,2018,2018-10-15,7.7,6.6,0.3,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540121,D-314,2021,2021-10-07,7.8,8.3,2.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540121,D-314,2024,2024-05-09,7.7,5.4,0.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (상반기, NO3=0.8↔0.4, Δ=0.40)"
D199540122,D-310,2018,2018-10-15,7.2,6.9,3.2,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199540122,D-310,2021,2021-12-03,7.3,5.9,2.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199540122,D-310,2024,2024-10-25,7.3,4.4,1.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.9↔2.0, Δ=0.10)"
D199620028,F-115,2018,2018-10-15,7.9,4.4,불검출,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620028,F-115,2021,2021-12-09,8.4,4.2,0.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620028,F-115,2024,2024-11-14,7.5,2.6,0.5,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.5↔0.5, Δ=0.00)"
D199620033,F-113,2018,2018-10-15,8.4,5.3,불검출,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620033,F-113,2021,2021-12-09,8.4,5.3,0.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620033,F-113,2024,2024-11-14,8.7,4.0,0.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합(수소이온농도),,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.6↔0.5, Δ=0.10)"
D199620034,F-114,2018,2018-10-15,7.2,5.6,1.2,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620034,F-114,2021,2021-12-09,7.5,4.6,0.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620034,F-114,2024,2024-11-14,7.4,3.3,1.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=1.2↔1.2, Δ=0.00)"
D199620035,D-319,2018,2018-10-15,8.2,4.6,0.2,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620035,D-319,2021,2021-12-02,8.4,4.4,0.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620035,D-319,2024,2024-11-14,7.6,2.9,0.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=0.6↔0.6, Δ=0.00)"
D199620043,F-116,2018,2018-10-15,6.7,13.3,10.4,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620043,F-116,2021,2021-11-25,7.1,11.4,9.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620043,F-116,2024,2024-11-25,7.6,10.2,10.2,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=10.2↔10.2, Δ=0.00)"
D199620044,F-118,2018,2018-10-15,6.7,11.7,4.9,불검출,불검출,불검출,불검출,불검출,,,불검출,불검출,불검출,불검출,불검출,불검출,적합,없음,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620044,F-118,2021,2021-11-25,7.1,16.5,10.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620044,F-118,2024,2024-11-22,7.6,13.5,7.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"NO3 매칭 채취일 추정 (하반기, NO3=7.7↔7.7, Δ=0.00)"
D199620045,D-263-1,2019,2019-10-15,7.2,8.4,7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,"표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199620045,D-263-1,2022,2022-01-20,7,8,5.6,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,사후관리DB,
D199620045,D-263-1,2025,2025-11-24,7.1 ,7.1 ,4.8 ,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,,,서귀포DB(정기검사),
D199630028,F-126,2023,2023-10-15,8.7,19.2,5.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,부적합,수소이온농도,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199630058,F-128,2023,2023-10-15,7.7,21.8,16.7,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199630061,F-144,2023,2023-10-15,7.8,11.9,6.1,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199630063,F-146,2023,2023-10-15,7.8,9.3,2.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199630068,F-127,2023,2023-10-15,7.4,14.6,6.9,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199630084,F-150,2023,2023-10-15,7.5,13.3,4.4,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
D199630085,F-142,2023,2023-10-15,7.7,27.5,8.8,불검출,불검출,불검출,불검출,,불검출,불검출,불검출,불검출,불검출,불검출,불검출,불검출,적합,,제주시DB(2023 6-2시트),"채취일자 미기재 (NO3 매칭 추정 예정); 표준 추정일 (가을, 매칭 5항목 자료 없음)"
