permit_no,well_id,well_si,well_eup,well_ri,well_bunji,well_bunji_check,tank_count,tank_si,tank_eup,tank_ri,tank_bunji,coord_x,coord_y,install_date,elevation_m,drill_depth_m,casing_diameter_mm,discharge_diameter_mm,capacity_m3d,permit_m3m,natural_water_level_m,stable_water_level_m,voltage_v,motor_hp,pump_depth_m,water_management,watershed,is_active,source_file
W200340033,F-519,서귀포시,대정읍,신평리,475,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340034,F-521,서귀포시,대정읍,영락리,1058-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340035,F-522,서귀포시,대정읍,인성리,56-10,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340036,F-517,서귀포시,안덕면,덕수리,1524-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340046,F-513,서귀포시,성산읍,수산리,1402,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340052,R-027,서귀포시,안덕면,감산리,554,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200420001,F-526,서귀포시,영남동,,2 - 5,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200420002,F-525,서귀포시,강정동,,3370 - 26,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200420003,F-524,서귀포시,상예동,,3991 - 6,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200440020,R-029,서귀포시,안덕면,서광리,51,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200440021,F-531,서귀포시,대정읍,무릉리,2946-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200520002,F-539,서귀포시,호근동,,1744,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200520003,F-536,서귀포시,토평동,,2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200520004,F-537,서귀포시,상효동,,123,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200520005,F-538,서귀포시,색달동,,3383,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540001,F-533,서귀포시,대정읍,신도리,2285-5,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540002,F-532,서귀포시,대정읍,무릉리,3521 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540003,R-030,서귀포시,안덕면,사계리,805 - 6,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540020,F-546,서귀포시,남원읍,신례리,산 12-18,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540021,F-545,서귀포시,남원읍,하례리,1837-225,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540023,F-548,서귀포시,안덕면,창천리,502,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540024,F-550,서귀포시,대정읍,영락리,20-4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540025,F-549,서귀포시,표선면,성읍리,3177-2,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200540027,F-547,서귀포시,남원읍,수망리,88-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620002,F-556,서귀포시,대정읍,신도리,233-2,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620003,F-557,서귀포시,대정읍,무릉리,1829-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620004,F-559,서귀포시,남원읍,위미리,68,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620006,F-558,서귀포시,대정읍,신평리,산 26-2,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620008,F-555,서귀포시,대포동,,2 - 4,,,,,,,,,,,,,,300,9000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620010,F-562,서귀포시,안덕면,덕수리,518,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620011,F-554,서귀포시,하예동,,1225 - 2,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620012,F-560,서귀포시,남원읍,신흥리,1197,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200620018,F-561,서귀포시,성산읍,삼달리,2093,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720008,F-574,서귀포시,서홍동,,2222,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720009,F-571,서귀포시,토평동,,2852,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720010,F-575,서귀포시,남원읍,위미리,4532-2,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720011,F-576,서귀포시,남원읍,한남리,산84,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720012,F-573,서귀포시,성산읍,신풍리,1522,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720021,F-572,서귀포시,대정읍,보성리,860-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200720022,F-577,서귀포시,대정읍,일과리,1 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200820014,F-587,서귀포시,대정읍,무릉리,815 - 1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200820015,F-588,서귀포시,안덕면,화순리,2049,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200820016,F-589,서귀포시,성산읍,오조리,2158-5,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200820020,F-590,서귀포시,남원읍,수망리,89,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200820028,F-555-1,서귀포시,하원동,,산 57,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920001,F-600,서귀포시,보목동,,971,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920025,F-601,서귀포시,성산읍,수산리,4398,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920026,F-602,서귀포시,남원읍,신흥리,2227,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920034,F-603,서귀포시,대정읍,영락리,7,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920035,F-604,서귀포시,색달동,,1506 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920036,F-605,서귀포시,대정읍,무릉리,3628 - 3,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200920037,F-606,서귀포시,안덕면,상창리,950 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201020012,F-616,서귀포시,남원읍,신흥리,1434-2,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201020013,F-615,서귀포시,대정읍,구억리,1034,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201020015,F-617,서귀포시,표선면,하천리,2155 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201020025,F-627,서귀포시,호근동,,784,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201120016,F-625,서귀포시,남원읍,한남리,산76-7,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201120017,F-626,서귀포시,남원읍,위미리,1317-1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220032,F-636,서귀포시,표선면,가시리,90,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220033,F-634,서귀포시,표선면,가시리,2614,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220034,F-632,서귀포시,안덕면,사계리,1455,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220035,F-633,서귀포시,대정읍,무릉리,3464-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220040,F-622,서귀포시,대정읍,신도리,1224-3,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220041,F-624,서귀포시,대정읍,영락리,산7-2,,,,,,,,,,,,,,1200,36000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201220056,F-635,서귀포시,성산읍,신산리,1694-1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201320008,F-647,서귀포시,대정읍,무릉리,793-2,,,,,,,,,,,,,,900,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201320016,F-648,서귀포시,남원읍,위미리,1171-3,,,,,,,,,,,,,,700,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201320017,F-650,서귀포시,성산읍,난산리,2889,,,,,,,,,,,,,,700,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201320018,F-649,서귀포시,표선면,토산리,산13,,,,,,,,,,,,,,900,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201320024,F-623,서귀포시,대정읍,신도리,1697-3,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201420006,F-651,서귀포시,안덕면,광평리,148,,,,,,,,,,,,,,600,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201420013,F-655,서귀포시,대정읍,상모리,2757-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201420017,F-656,서귀포시,남원읍,하례,1263-6,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201420022,F-657,서귀포시,표선면,세화리,2341-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201520003,F-658,서귀포시,남원읍,남원리,753,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201620009,F-662,서귀포시,강정동,,5533,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W201620010,F-663,서귀포시,호근동,,1148,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320005,D-036,서귀포시,신효동,,1544 - 2,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320006,W-024,서귀포시,신효동,,1544 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320007,D-063,서귀포시,보목동,,1628 - 1,,,,,,,,,,,,,,2100,63000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320009,D-101,서귀포시,호근동,,1212,,,,,,,,,,,,,,720,21600,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320011,W-018,서귀포시,월평동,,416 - 2,,,,,,,,,,,,,,1300,39000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320831,F-054,서귀포시,강정동,,3555-5,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320832,D-250,서귀포시,서호동,,1397-1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320836,F-045,서귀포시,상예동,,4596 - 5,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320837,D-229,서귀포시,하효동,,778,,,,,,,,,,,,,,2000,60000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320838,D-228,서귀포시,도순동,,117 - 3,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320839,D-178,서귀포시,강정동,,5522 - 5,,,,,,,,,,,,,,1300,39000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320841,D-087,서귀포시,하원동,,1478 - 3,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199320842,D-108,서귀포시,동홍동,,1345 - 3,,,,,,,,,,,,,,100,3000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340974,U-050,서귀포시,대정읍,상모리,1408-5,,,,,,,,,,,,,,1700,51000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340975,W-028,서귀포시,표선면,가시리,1940 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340976,F-004,서귀포시,남원읍,위미리,3456-1,,,,,,,,,,,,,,1100,33000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340977,F-006,서귀포시,남원읍,신흥리,566 - 7,,,,,,,,,,,,,,1700,51000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340978,F-012,서귀포시,대정읍,신도리,3138 - 2,,,,,,,,,,,,,,1500,45000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340979,F-013,서귀포시,대정읍,신도리,3949-4,,,,,,,,,,,,,,1500,45000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340980,F-014,서귀포시,대정읍,상모리,801 - 2,,,,,,,,,,,,,,1150,34500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340981,F-018,서귀포시,대정읍,신도리,2692-8,,,,,,,,,,,,,,1800,54000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340982,F-019,서귀포시,안덕면,덕수리,1753 - 2,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340983,F-024,서귀포시,안덕면,사계리,3509 - 1,,,,,,,,,,,,,,1200,36000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340984,F-025,서귀포시,안덕면,덕수리,1446 - 2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340986,F-035,서귀포시,대정읍,인성리,701 - 22,,,,,,,,,,,,,,1150,34500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340987,F-038,서귀포시,대정읍,신도리,1665 - 3,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340988,F-039,서귀포시,남원읍,위미리,4610-17,,,,,,,,,,,,,,650,19500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340989,F-042,제주시,한경면,청수리,2868 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340990,F-043,서귀포시,표선면,토산리,2057-2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340991,F-050,서귀포시,대정읍,신평리,301 - 6,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199340992,F-052,서귀포시,대정읍,신도리,1199 - 1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
