permit_no,well_id,well_si,well_eup,well_ri,well_bunji,well_bunji_check,tank_count,tank_si,tank_eup,tank_ri,tank_bunji,coord_x,coord_y,install_date,elevation_m,drill_depth_m,casing_diameter_mm,discharge_diameter_mm,capacity_m3d,permit_m3m,natural_water_level_m,stable_water_level_m,voltage_v,motor_hp,pump_depth_m,water_management,watershed,is_active,source_file
Y199341099,89동광1,서귀포시,안덕면,서광리,6,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341100,90감산,서귀포시,안덕면,상창리,1516 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341103,D-006,서귀포시,표선면,토산리,1141 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341104,D-020,서귀포시,표선면,성읍리,553 - 1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341106,D-158,서귀포시,표선면,표선리,2088 - 4,,,,,,,,,,,,,,1505,45150,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199520081,D-274,서귀포시,상효동,,111-1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199520082,F-067,서귀포시,대포동,,196 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199520083,F-079,서귀포시,하원동,,998,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199520085,D-275,서귀포시,상예동,,3592 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540245,F-074,서귀포시,남원읍,한남리,197 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540246,D-283,서귀포시,남원읍,신흥리,1972-2,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540248,F-075,서귀포시,안덕면,덕수리,2842 - 4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540249,D-268,서귀포시,대정읍,신도리,1556 - 5,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540250,D-269,서귀포시,대정읍,상모리,1171-43,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540251,D-284,서귀포시,대정읍,신평리,974 - 2,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540252,D-245,서귀포시,남원읍,위미리,1205 - 1,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540253,F-073,서귀포시,남원읍,남원리,581,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540254,D-271,서귀포시,성산읍,신풍리,1273,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540255,F-076,서귀포시,안덕면,덕수리,311 - 5,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540256,F-077,서귀포시,안덕면,서광리,2239 - 1,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199540257,D-270,서귀포시,표선면,세화리,2141 - 8,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y200240031,F-083,서귀포시,남원읍,한남리,1189 - 8,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
