eup_dong,법정리명,area_km2,lon,lat,parent_grid_row,parent_grid_col
애월읍,어음리,24.22534565871354,126.36655883111013,33.38855473783165,0.0,1.0
애월읍,유수암리,19.48272690510094,126.41262680030908,33.4106177381287,0.0,1.0
애월읍,장전리,3.408976885336052,126.38695782196125,33.44794657075635,0.0,1.0
애월읍,하가리,3.812989042431996,126.3563012118612,33.45457150460194,0.0,1.0
애월읍,하귀1리,4.939259041912655,126.40663406488044,33.47916416823278,0.0,1.0
제주시 동지역,건입동,2.5131275823981536,126.54257266482156,33.515110338643545,0.0,2.0
제주시 동지역,내도동,1.4777660994595894,126.44288192407976,33.49093088235801,0.0,2.0
제주시 동지역,노형동,15.447971306265808,126.4870353691938,33.44414493916052,0.0,2.0
제주시 동지역,도남동,2.610925597532629,126.52502598848623,33.486843199169,0.0,2.0
제주시 동지역,도두1동,1.919021338408367,126.47180390288418,33.50097943395972,0.0,2.0
제주시 동지역,도두2동,2.048967360074104,126.4843303057417,33.50305444833408,0.0,2.0
제주시 동지역,도련1동,3.9470157982260607,126.5869185086798,33.50542695881984,0.0,2.0
제주시 동지역,도련2동,1.463090290479854,126.59687782712184,33.51245518253259,0.0,2.0
제주시 동지역,도평동,3.0703368421668764,126.45180308529262,33.47779790060073,0.0,2.0
제주시 동지역,봉개동,23.97006987747461,126.61141171138942,33.445574828439625,0.0,2.0
제주시 동지역,삼도1동,1.2607715908073156,126.5202730672361,33.50445467826107,0.0,2.0
제주시 동지역,삼도2동,0.4616120166133267,126.52050038313784,33.516318710190035,0.0,2.0
제주시 동지역,삼양1동,3.1390450623028228,126.59856037950388,33.5234939420522,0.0,2.0
제주시 동지역,삼양2동,0.8413035159084226,126.5838940687659,33.521179220233144,0.0,2.0
제주시 동지역,삼양3동,0.2483719178596912,126.57661991471508,33.52478894258313,0.0,2.0
제주시 동지역,아라1동,2.973682707439949,126.55351340766586,33.47731107148644,0.0,2.0
제주시 동지역,아라2동,18.710184609866936,126.5578584218942,33.431377876642934,0.0,2.0
제주시 동지역,연동,12.386869502543403,126.49499636063103,33.458135406571515,0.0,2.0
제주시 동지역,영평동,13.656582996393034,126.57436656167438,33.449340481373845,0.0,2.0
제주시 동지역,오등동,24.593312386917205,126.5397757768276,33.425356658543514,0.0,2.0
제주시 동지역,오라1동,0.6839348952041755,126.51642911347604,33.495557389227855,0.0,2.0
제주시 동지역,오라2동,26.21787972848709,126.51865783993485,33.42936313466557,0.0,2.0
제주시 동지역,오라3동,0.9669930239427492,126.5052086568119,33.4946606103141,0.0,2.0
제주시 동지역,외도1동,3.578785941464474,126.43023102092776,33.48269075616227,0.0,2.0
제주시 동지역,외도2동,0.3384504492214188,126.42832718448676,33.49332304576878,0.0,2.0
제주시 동지역,용강동,11.032449472902377,126.59564350694488,33.449228116675414,0.0,2.0
제주시 동지역,용담1동,0.6584541632200135,126.51488002987789,33.50876377802182,0.0,2.0
제주시 동지역,용담2동,3.429312942586998,126.50038725059667,33.50678348965275,0.0,2.0
제주시 동지역,용담3동,1.4276259286950796,126.49571512514372,33.51587748241819,0.0,2.0
제주시 동지역,월평동,12.284472301811688,126.56587704287624,33.40686099081328,0.0,2.0
제주시 동지역,이도1동,0.6492218138413054,126.52750114948309,33.50546342294555,0.0,2.0
제주시 동지역,이도2동,2.8948040415058465,126.5394274530166,33.495414683283045,0.0,2.0
제주시 동지역,이호1동,1.060070176489737,126.45656339915746,33.4982624801871,0.0,2.0
제주시 동지역,이호2동,1.5341891210571503,126.46012756333194,33.4917169692432,0.0,2.0
제주시 동지역,일도1동,0.2954704539365627,126.52747598373068,33.512975688730144,0.0,2.0
제주시 동지역,일도2동,2.214295567235649,126.54095720321564,33.50644176923936,0.0,2.0
제주시 동지역,해안동,30.26852525966888,126.47163864563298,33.42420652791731,0.0,2.0
제주시 동지역,화북1동,2.971693457244181,126.56432168296504,33.519139883156924,0.0,2.0
제주시 동지역,화북2동,5.342244688855835,126.56404039546584,33.50243731337247,0.0,2.0
제주시 동지역,회천동,12.716156867480269,126.62282126643976,33.47886474945729,0.0,2.0
조천읍,교래리,51.10345651465975,126.65307680194944,33.41782040935341,0.0,3.0
