timestamp,file,action,permit_before,well_id_before,permit_after,well_id_after,year,reason,source_sheet
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"193,101",F-046,"19,310",F-046,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"211,988",F-090,"21,198",F-090,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"331,227",F-120,"33,122",F-120,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"473,153",F-205,"47,315",F-205,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"513,052",F-235,"51,305",F-235,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"480,992",F-246,"48,099",F-246,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"999,528",F-256,"99,952",F-256,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"237,681",F-258,"23,768",F-258,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"212,518",F-300,"21,251",F-300,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"357,101",F-302,"35,710",F-302,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"630,865",F-310,"63,086",F-310,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"381,690",F-311,"38,169",F-311,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"582,969",F-313,"58,296",F-313,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"298,779",F-316,"29,877",F-316,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"241,108",F-359,"24,110",F-359,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"567,148",F-419,"56,714",F-419,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"390,020",F-421,"39,002",F-421,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"244,113",F-502,"24,411",F-502,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"393,616",F-509,"39,361",F-509,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"547,498",F-544,"54,749",F-544,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"491,311",F-584,"49,131",F-584,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"730,257",F-608,"73,025",F-608,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"411,461",F-619,"41,146",F-619,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"541,064",F-646,"54,106",F-646,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"263,862",S-012,"26,386",S-012,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2024.csv,오타 자동보정 (옵션A),"500,867",F-239,"50,086",F-239,2024,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2025.csv,오타 자동보정 (옵션A),"369,030",F-140,"36,903",F-140,2025,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2025.csv,오타 자동보정 (옵션A),"181,272",F-212,"18,127",F-212,2025,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2019.csv,Flagging (수동검토 필요),"123,101",A-005,,,2019,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2019.csv,Flagging (수동검토 필요),"131,582",F-005,,,2019,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2019.csv,Flagging (수동검토 필요),"139,310",F-376,,,2019,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,Flagging (수동검토 필요),"177,676",F-094,,,2022,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,Flagging (수동검토 필요),"98,786",F-331,,,2022,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,Flagging (수동검토 필요),"125,061",F-398,,,2022,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,Flagging (수동검토 필요),"83,860",F-409,,,2022,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,Flagging (수동검토 필요),"190,923",F-442,,,2022,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,Flagging (수동검토 필요),"225,483",D-119,,,2023,①②만 충족 (인근 검증 부족),제주시 5.이용량조사
