permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
W200130050,F-453,2017,1679,2118,3591,3344,5472,6304,5824,6057,7446,7000,10252,5517,800,18200,,사후관리DB(원본월별·5년이용량분석)
W200130051,F-476,2017,480,364,1649,205,1840,3214,1299,1591,3093,1669,2400,1201,800,12000,,사후관리DB(원본월별·5년이용량분석)
W200130052,F-454,2017,309,882,3732,283,1995,4360,768,5278,7406,5109,10927,4582,800,12000,,사후관리DB(원본월별·5년이용량분석)
W200130062,F-452,2017,7917,14997,14707,14535,14425,17417,8832,9881,6836,7415,8495,11349,700,21000,,사후관리DB(원본월별·5년이용량분석)
W200130063,R-016,2017,3296,3698,3909,1207,3077,3019,599,2330,8751,8376,18863,11845,1000,22800,,사후관리DB(원본월별·5년이용량분석)
W200130064,R-017,2017,5932,2235,926,296,1410,1127,561,889,4464,2875,5394,1317,1000,15000,,사후관리DB(원본월별·5년이용량분석)
W200130070,F-450,2017,2611,2572,2403,2677,2618,5219,3249,7726,3510,3281,3394,3246,700,14700,,사후관리DB(원본월별·5년이용량분석)
W200130071,F-455,2017,9562,10104,12615,9696,10902,15893,13215,17386,17615,12821,15947,12613,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200140097,F-462,2017,2268.4,3158.8,4258.55,5888.3,6569.35,8336.9,5668.35,8819.2,5750.5,3492.7,4987.3,2803.7,800,24000,,
W200140127,F-461,2017,3655.06,3187.96,3682.31,4912.34,4203.9,6644.5,4067.66,4044.31,5383.33,11074.16,5348.3,7695.47,850,25500,,
W200140128,F-459,2017,5724.59,10015.09,10984.86,16521.37,15401.73,18887.02,20567.96,18037.74,16233.38,8998.3,10000.4,9283.35,700,21000,,
W200140129,F-467,2017,0.0,0.0,0.0,0.0,0.0,0.0,94.09,6.72,3.36,0.0,0.0,0.0,500,15000,,
W200140141,F-464,2017,2371.58,1220.71,1205.53,12948.06,1739.97,6638.01,1132.65,965.64,4421.29,15447.18,17402.75,16768.11,900,27000,,
