permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
W200340052,R-027,2024,2205.0,2372.0,2717.0,2199.0,2536.0,2331.0,2297.0,6751.0,8116.0,7225.0,2671.0,1859.0,700,15000,,
W200420001,F-526,2024,11537.0,11106.0,12802.0,13755.0,13753.0,18361.0,11652.0,14856.0,14996.0,13389.0,13705.0,12197.0,700,21000,,
W200420002,F-525,2024,2975.0,4905.0,6854.0,10942.0,9060.0,15035.0,8011.0,15107.0,16666.0,9927.0,6184.0,4357.0,800,24000,,
W200420003,F-524,2024,3001.0,4285.0,3930.0,6182.0,6526.0,7386.0,5768.0,3326.0,5535.0,4457.0,2705.0,2795.0,700,15000,,
W200440020,R-029,2024,1396.0,1511.0,1509.0,992.0,1254.0,1035.0,1693.0,3469.0,2820.0,2306.0,1937.0,1758.0,800,18000,,
W200440021,F-531,2024,2249.0,1732.0,1729.0,3125.0,2265.0,3914.0,996.0,1884.0,1960.0,5209.0,4378.0,832.0,800,24000,,
W200520003,F-536,2024,11782.0,11903.0,10265.0,8943.0,12395.0,11239.0,10045.0,17645.0,15502.0,15465.0,16852.0,18778.0,700,21000,,
W200520004,F-537,2024,7813.0,8007.0,8538.0,8293.0,9071.0,9702.0,9745.0,11872.0,11936.0,11127.0,10798.0,10737.0,700,21000,,
W200520005,F-538,2024,3510.0,3610.0,4039.0,9109.0,8443.0,10836.0,9194.0,8149.0,11968.0,9512.0,7616.0,6229.0,600,18000,,
W200540001,F-533,2024,367.0,343.0,48.0,563.0,24.0,2184.0,195.0,681.0,5686.0,6173.0,3900.0,1846.0,800,21000,,
W200540002,F-532,2024,4883.0,5125.0,4463.0,5664.0,6444.0,7346.0,5602.0,6044.0,8371.0,9482.0,8938.0,4873.0,800,21000,,
W200540003,R-030,2024,4087.0,4585.0,6261.0,3417.0,4306.0,5548.0,5582.0,14737.0,15772.0,11720.0,4766.0,5057.0,700,21000,,
W200540020,F-546,2024,13411.0,15176.0,14579.0,19217.0,18179.0,25330.0,18058.0,21700.0,25261.0,20591.0,17038.0,17967.0,800,24000,,
W200540021,F-545,2024,13818.0,14751.0,12893.0,19903.0,18914.0,22254.0,14998.0,14688.0,17981.0,14495.0,13662.0,14982.0,800,24000,,
W200540023,F-548,2024,2761.0,2914.0,4108.0,5025.0,5324.0,6564.0,4417.0,8444.0,7993.0,5732.0,3867.0,3663.0,700,15000,,
W200540024,F-550,2024,282.0,314.0,268.0,280.0,293.0,199.0,292.0,325.0,1110.0,1466.0,497.0,71.0,700,21000,,
W200540025,F-549,2024,3182.0,3550.0,2699.0,2860.0,2843.0,5524.0,4719.0,6349.0,7013.0,5707.0,4009.0,3609.0,800,24000,,
W200540027,F-547,2024,13799.0,14548.0,16266.0,17459.0,16782.0,23218.0,19704.0,28826.0,23166.0,15620.0,14246.0,15795.0,900,27000,,
W200620002,F-556,2024,2383.0,2137.0,1695.0,2720.0,2607.0,2965.0,1686.0,2839.0,5939.0,7265.0,5789.0,2450.0,800,24000,,
W200620003,F-557,2024,240.0,154.0,106.0,251.0,266.0,363.0,421.0,80.0,1443.0,1579.0,97.0,139.0,800,24000,,
W200620004,F-559,2024,14722.0,5761.0,12513.0,13077.0,2459.0,5740.0,2551.0,4692.0,6506.0,7999.0,8907.0,12187.0,700,21000,,
W200620006,F-558,2024,2146.0,2386.0,2230.0,3934.0,3227.0,4957.0,3690.0,3178.0,7279.0,8314.0,7428.0,2979.0,800,24000,,
W200620010,F-562,2024,5546.0,5542.0,8761.0,7479.0,6867.0,6505.0,3490.0,8590.0,10224.0,5410.0,3669.0,4930.0,900,27000,,
W200620011,F-554,2024,15442.0,15561.0,14472.0,17156.0,15416.0,15062.0,12203.0,15832.0,16788.0,16649.0,15597.0,14321.0,600,18000,,
W200620012,F-560,2024,11508.0,11965.0,11862.0,16122.0,16064.0,20476.0,14851.0,20221.0,19380.0,14040.0,10971.0,12265.0,900,27000,,
W200620018,F-561,2024,1958.0,1720.0,2317.0,1015.0,123.0,230.0,179.0,231.0,313.0,527.0,714.0,1938.0,900,27000,,
W200720008,F-574,2024,8018.0,4553.0,6572.0,9954.0,9266.0,12968.0,7508.0,11520.0,9452.0,4835.0,3998.0,4074.0,600,18000,,
W200720009,F-571,2024,3562.0,4633.0,5698.0,7340.0,8345.0,7968.0,6457.0,9383.0,9532.0,6365.0,4183.0,4501.0,700,21000,,
W200720010,F-575,2024,2034.0,2658.0,2486.0,5461.0,4013.0,7737.0,4248.0,4874.0,6674.0,3094.0,474.0,282.0,900,18900,,
W200720011,F-576,2024,16848.0,19260.0,19817.0,25271.0,21816.0,22412.0,27938.0,27666.0,27843.0,26691.0,22867.0,23091.0,700,21000,,
W200720012,F-573,2024,5162.0,5394.0,6412.0,5271.0,5603.0,7694.0,6043.0,8396.0,12457.0,6217.0,5830.0,5678.0,800,24000,,
W200720021,F-572,2024,2020.0,2337.0,2228.0,3658.0,2811.0,3179.0,4541.0,5196.0,6617.0,6102.0,5948.0,3308.0,800,24000,,
W200720022,F-577,2024,4993.0,2260.0,2701.0,6087.0,4459.0,8013.0,5434.0,6422.0,11766.0,12089.0,8851.0,4083.0,800,24000,,
W200820014,F-587,2024,3969.0,4218.0,4359.0,6186.0,7375.0,9677.0,6790.0,7426.0,10487.0,11252.0,10061.0,5288.0,900,27000,,
W200820015,F-588,2024,3406.0,5133.0,4415.0,4201.0,4863.0,5175.0,3519.0,8580.0,10291.0,4615.0,3961.0,4401.0,800,17000,,
W200820016,F-589,2024,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,800,24000,,
W200820020,F-590,2024,8880.0,10353.0,9505.0,11264.0,10486.0,17144.0,16200.0,18356.0,19996.0,20656.0,16372.0,20429.0,800,24000,,
W200820028,F-555-1,2024,6309.0,5555.0,5116.0,5439.0,5738.0,7076.0,6947.0,5762.0,6520.0,6708.0,6571.0,5330.0,300,9000,,
W200920001,F-600,2024,2386.0,1400.0,1914.0,4394.0,3417.0,5673.0,2449.0,3541.0,4236.0,3465.0,2437.0,1492.0,600,18000,,
W200920025,F-601,2024,9615.0,8847.0,8481.0,10997.0,9892.0,10262.0,10232.0,14555.0,14093.0,11361.0,7363.0,11134.0,800,24000,,
W200920026,F-602,2024,10386.0,14703.0,14578.0,18453.0,16663.0,23195.0,18511.0,17816.0,21853.0,18619.0,14912.0,14037.0,850,25500,,
W200920034,F-603,2024,33143.0,32350.0,30218.0,33129.0,30915.0,33222.0,31062.0,10517.0,94.0,16.0,4976.0,1299.0,950,28500,,
W200920035,F-604,2024,1050.0,1673.0,1501.0,2458.0,1732.0,3258.0,3409.0,4011.0,6619.0,3804.0,2341.0,1971.0,800,15000,,
W200920036,F-605,2024,2284.0,1926.0,1963.0,4253.0,5135.0,8524.0,5597.0,8420.0,9699.0,9101.0,7338.0,2606.0,850,25500,,
W200920037,F-606,2024,1976.0,2832.0,3958.0,4372.0,5039.0,5190.0,2438.0,6436.0,5905.0,4199.0,3308.0,2420.0,800,17000,,
W201020012,F-616,2024,2419.0,14375.0,13329.0,18517.0,15404.0,19259.0,16446.0,27469.0,23313.0,10527.0,10154.0,9363.0,900,27000,,
W201020013,F-615,2024,7006.0,7144.0,6770.0,7289.0,7353.0,8143.0,7571.0,7613.0,7785.0,6961.0,6699.0,6009.0,800,24000,,
W201020015,F-617,2024,16608.0,17065.0,16851.0,17833.0,17506.0,18677.0,17334.0,18433.0,18608.0,18091.0,19439.0,18843.0,800,24000,,
W201020025,F-627,2024,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,354.0,600,18000,,
W201120016,F-625,2024,29529.0,30551.0,28551.0,31532.0,30608.0,30150.0,28188.0,31238.0,31955.0,30797.0,31836.0,30798.0,800,24000,,
W201120017,F-626,2024,2246.0,3216.0,2317.0,7569.0,6028.0,10729.0,2993.0,5116.0,11506.0,7491.0,3842.0,4178.0,800,16800,,
W201220032,F-636,2024,7332.0,7737.0,7754.0,15123.0,26306.0,25696.0,21639.0,30548.0,31094.0,31162.0,19468.0,18533.0,900,27000,,
W201220033,F-634,2024,11649.0,12504.0,11065.0,7506.0,8636.0,13359.0,10769.0,12758.0,13721.0,9499.0,8738.0,7362.0,900,27000,,
W201220034,F-632,2024,1798.0,1531.0,1840.0,2589.0,2415.0,2263.0,860.0,2179.0,8070.0,9040.0,946.0,3406.0,700,21000,,
W201220035,F-633,2024,6834.0,5697.0,4924.0,6626.0,8139.0,14113.0,7646.0,10001.0,19044.0,15278.0,11543.0,5923.0,900,27000,,
W201220040,F-622,2024,3439.0,2871.0,2421.0,2566.0,1877.0,1963.0,3140.0,3519.0,8479.0,3509.0,4600.0,1202.0,1000,30000,,
W201220041,F-624,2024,250.0,92.0,126.0,357.0,424.0,688.0,362.0,371.0,591.0,5171.0,7701.0,183.0,1000,30000,,
W201220056,F-635,2024,14997.0,15461.0,16017.0,17832.0,20875.0,19909.0,15682.0,22914.0,22306.0,16165.0,12710.0,12082.0,800,24000,,
W201320008,F-647,2024,1398.0,1180.0,1396.0,1828.0,2295.0,2614.0,882.0,853.0,204.0,571.0,57.0,420.0,900,27000,,
W201320016,F-648,2024,12622.0,13183.0,11586.0,9351.0,10232.0,10958.0,9637.0,6325.0,10867.0,12340.0,12513.0,12323.0,700,21000,,
W201320017,F-650,2024,11079.0,11432.0,11152.0,16077.0,15018.0,21080.0,16190.0,17089.0,22900.0,12758.0,9700.0,8992.0,700,21000,,
W201320018,F-649,2024,16252.0,18923.0,18176.0,24115.0,21387.0,26886.0,24192.0,23843.0,26646.0,23900.0,20293.0,16006.0,900,27000,,
W201320024,F-623,2024,2065.0,1619.0,91.0,768.0,2186.0,2202.0,7.0,451.0,3338.0,26.0,0.0,0.0,800,24000,,
W201420006,F-651,2024,1343.0,1430.0,1509.0,1889.0,2348.0,2043.0,1626.0,1447.0,2560.0,3972.0,3567.0,2667.0,600,18000,,
W201420013,F-655,2024,898.0,0.0,6.0,702.0,1519.0,2599.0,1733.0,2019.0,4727.0,7836.0,4730.0,1181.0,900,27000,,
W201420017,F-656,2024,8422.0,11152.0,9856.0,11585.0,11164.0,13305.0,8767.0,10722.0,12277.0,11430.0,6033.0,70.0,900,27000,,
W201420022,F-657,2024,17976.0,21477.0,19018.0,27735.0,24948.0,28496.0,23013.0,22258.0,25105.0,17727.0,11984.0,9317.0,900,27000,,
W201520003,F-658,2024,2305.0,3472.0,3268.0,8576.0,6030.0,9937.0,13011.0,18215.0,19546.0,4699.0,2605.0,3234.0,700,14700,,
W201620001,F-664,2024,19392.0,20349.0,16641.0,20048.0,23207.0,33225.0,32775.0,34239.0,41377.0,24510.0,23427.0,11289.0,800,24000,,
W201620002,F-665,2024,6464.0,6784.0,5547.0,6683.0,7737.0,11075.0,10926.0,11414.0,13793.0,18382.0,17570.0,8467.0,800,24000,,
W201620003,F-666,2024,6464.0,6784.0,5547.0,6683.0,7736.0,11075.0,10925.0,11414.0,13793.0,18382.0,17570.0,8467.0,800,24000,,
W201620009,F-662,2024,2086.0,2913.0,2973.0,3046.0,3197.0,4122.0,2237.0,4595.0,4005.0,2863.0,2486.0,2043.0,500,15000,,
W201620010,F-663,2024,2143.0,2231.0,2852.0,2455.0,2273.0,3902.0,2147.0,3311.0,3782.0,5707.0,4373.0,2675.0,700,21000,,
W201820001,F-662-1,2024,4552.0,6359.0,6489.0,10186.0,10688.0,13778.0,6822.0,14015.0,12216.0,9019.0,7833.0,6438.0,500,15000,,
W202020012,F-669,2024,394.0,338.0,336.0,403.0,220.0,249.0,897.0,582.0,653.0,1423.0,1117.0,648.0,900,27000,,
Y199320005,D-036,2024,2665.0,1602.0,1941.0,2325.0,2517.0,2814.0,1970.0,3332.0,5107.0,2715.0,2286.0,2178.0,850,18000,,
Y199320006,W-024,2024,5846.0,5221.0,6169.0,3187.0,4167.0,4796.0,5158.0,10317.0,7986.0,5991.0,5264.0,5525.0,700,21000,,
