연도,분류,작물명,재배면적_ha,생산량_t,출처
2020,채소류,기타채소,3454.0,72753.0,2025 주요행정통계 p.196
2021,채소류,기타채소,3275.0,64137.0,2025 주요행정통계 p.196
2022,채소류,기타채소,3575.0,63893.0,2025 주요행정통계 p.196
2023,채소류,기타채소,3384.0,63637.0,2025 주요행정통계 p.196
2020,특용작물,특용작물_합계,2456.0,7953.0,2025 주요행정통계 p.195
2021,특용작물,특용작물_합계,2398.0,7296.0,2025 주요행정통계 p.195
2022,특용작물,특용작물_합계,2370.0,7238.0,2025 주요행정통계 p.195
2023,특용작물,특용작물_합계,2343.0,7079.0,2025 주요행정통계 p.195
2020,특용작물,유채,86.0,119.0,2025 주요행정통계 p.195
2021,특용작물,유채,89.0,124.0,2025 주요행정통계 p.195
2022,특용작물,유채,95.0,133.0,2025 주요행정통계 p.195
2023,특용작물,유채,94.0,132.0,2025 주요행정통계 p.195
2020,특용작물,참깨,517.0,244.0,2025 주요행정통계 p.195
2021,특용작물,참깨,484.0,228.0,2025 주요행정통계 p.195
2022,특용작물,참깨,481.0,231.0,2025 주요행정통계 p.195
2023,특용작물,참깨,474.0,220.0,2025 주요행정통계 p.195
2020,특용작물,땅콩,133.0,50.0,2025 주요행정통계 p.195
2021,특용작물,땅콩,140.0,95.0,2025 주요행정통계 p.195
2022,특용작물,땅콩,144.0,150.0,2025 주요행정통계 p.195
2023,특용작물,땅콩,186.0,192.0,2025 주요행정통계 p.195
2020,특용작물,녹차,593.0,1517.0,2025 주요행정통계 p.195
2021,특용작물,녹차,575.0,857.0,2025 주요행정통계 p.195
2022,특용작물,녹차,570.0,875.0,2025 주요행정통계 p.195
2023,특용작물,녹차,565.0,876.0,2025 주요행정통계 p.195
2020,특용작물,약용작물,1088.0,5739.0,2025 주요행정통계 p.195
2021,특용작물,약용작물,1071.0,5710.0,2025 주요행정통계 p.195
2022,특용작물,약용작물,1039.0,5564.0,2025 주요행정통계 p.195
2023,특용작물,약용작물,984.0,5376.0,2025 주요행정통계 p.195
2020,특용작물,버섯,7.0,93.0,2025 주요행정통계 p.195
2021,특용작물,버섯,8.0,93.0,2025 주요행정통계 p.195
2022,특용작물,버섯,8.0,93.0,2025 주요행정통계 p.195
2023,특용작물,버섯,8.0,91.0,2025 주요행정통계 p.195
2018,과실류,과실_합계,20606.0,617955.0,통계연보 6.농림수산업 8
2018,과실류,감귤,20090.0,607638.0,통계연보 6.농림수산업 8
2018,과실류,참다래,311.0,8325.0,통계연보 6.농림수산업 8
2018,과실류,망고,33.0,310.0,통계연보 6.농림수산업 8
2018,과실류,단감,52.0,323.0,통계연보 6.농림수산업 8
2019,과실류,과실_합계,20596.0,641700.0,통계연보 6.농림수산업 8
2019,과실류,감귤,20059.0,631310.0,통계연보 6.농림수산업 8
2019,과실류,참다래,331.0,8680.0,통계연보 6.농림수산업 8
2019,과실류,망고,36.0,353.0,통계연보 6.농림수산업 8
2019,과실류,단감,47.0,185.0,통계연보 6.농림수산업 8
2020,과실류,과실_합계,20585.4,665575.0,통계연보 6.농림수산업 8
2020,과실류,감귤,20038.0,654864.0,통계연보 6.농림수산업 8
2020,과실류,참다래,328.0,8806.0,통계연보 6.농림수산업 8
2020,과실류,망고,37.9,376.0,통계연보 6.농림수산업 8
2020,과실류,단감,44.5,149.0,통계연보 6.농림수산업 8
2021,과실류,과실_합계,20527.0,623636.9,통계연보 6.농림수산업 8
2021,과실류,감귤,19978.0,613118.0,통계연보 6.농림수산업 8
2021,과실류,참다래,334.8,8711.0,통계연보 6.농림수산업 8
2021,과실류,망고,40.3,407.0,통계연보 6.농림수산업 8
2021,과실류,단감,45.7,220.0,통계연보 6.농림수산업 8
2022,과실류,과실_합계,20422.0,592442.0,통계연보 6.농림수산업 8
2022,과실류,감귤,19871.0,581858.0,통계연보 6.농림수산업 8
2022,과실류,참다래,341.0,8911.0,통계연보 6.농림수산업 8
2022,과실류,망고,41.0,423.0,통계연보 6.농림수산업 8
2022,과실류,단감,44.0,204.0,통계연보 6.농림수산업 8
2023,과실류,과실_합계,20640.0,596361.0,통계연보 6.농림수산업 8
2023,과실류,감귤,19726.0,579432.0,통계연보 6.농림수산업 8
2023,과실류,참다래,401.0,12962.0,통계연보 6.농림수산업 8
2023,과실류,망고,44.0,430.0,통계연보 6.농림수산업 8
2023,과실류,단감,91.0,972.0,통계연보 6.농림수산업 8
2024,과실류,과실_합계,20555.000000000004,556970.0,통계연보 6.농림수산업 8
2024,과실류,감귤,19625.0,540906.0,통계연보 6.농림수산업 8
2024,과실류,참다래,408.0,11918.0,통계연보 6.농림수산업 8
2024,과실류,망고,74.4,753.0,통계연보 6.농림수산업 8
2024,과실류,단감,87.3,896.0,통계연보 6.농림수산업 8
2019,과실류_세부,감귤_노지온주,14815.0,491149.0,2025 주요행정통계 p.199
2020,과실류_세부,감귤_노지온주,14752.0,515778.0,2025 주요행정통계 p.199
2021,과실류_세부,감귤_노지온주,14607.0,467293.0,2025 주요행정통계 p.199
2022,과실류_세부,감귤_노지온주,14405.0,428977.0,2025 주요행정통계 p.199
2023,과실류_세부,감귤_노지온주,14242.0,405885.0,2025 주요행정통계 p.199
2019,과실류_세부,감귤_하우스온주,339.0,27543.0,2025 주요행정통계 p.199
2020,과실류_세부,감귤_하우스온주,363.0,25358.0,2025 주요행정통계 p.199
2021,과실류_세부,감귤_하우스온주,373.0,27009.0,2025 주요행정통계 p.199
2022,과실류_세부,감귤_하우스온주,415.0,25775.0,2025 주요행정통계 p.199
2023,과실류_세부,감귤_하우스온주,443.0,26824.0,2025 주요행정통계 p.199
2019,과실류_세부,감귤_월동온주,932.0,30176.0,2025 주요행정통계 p.199
2020,과실류_세부,감귤_월동온주,943.0,31350.0,2025 주요행정통계 p.199
2021,과실류_세부,감귤_월동온주,916.0,25833.0,2025 주요행정통계 p.199
2022,과실류_세부,감귤_월동온주,889.0,27115.0,2025 주요행정통계 p.199
2023,과실류_세부,감귤_월동온주,869.0,30164.0,2025 주요행정통계 p.199
2019,과실류_세부,감귤_만감류_노지,643.0,3561.0,2025 주요행정통계 p.199
2020,과실류_세부,감귤_만감류_노지,623.0,4018.0,2025 주요행정통계 p.199
2021,과실류_세부,감귤_만감류_노지,624.0,4293.0,2025 주요행정통계 p.199
2022,과실류_세부,감귤_만감류_노지,626.0,4937.0,2025 주요행정통계 p.199
2023,과실류_세부,감귤_만감류_노지,609.0,3993.0,2025 주요행정통계 p.199
2019,과실류_세부,감귤_만감류_하우스,3330.0,78881.0,2025 주요행정통계 p.199
2020,과실류_세부,감귤_만감류_하우스,3357.0,78360.0,2025 주요행정통계 p.199
2021,과실류_세부,감귤_만감류_하우스,3458.0,88690.0,2025 주요행정통계 p.199
2022,과실류_세부,감귤_만감류_하우스,3536.0,95054.0,2025 주요행정통계 p.199
2023,과실류_세부,감귤_만감류_하우스,3563.0,112566.0,2025 주요행정통계 p.199
